condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,35,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
ciprofloxacin,assumed_0.1pct,0.001,36,2;1;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,37,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,38,2;2;3,-4.2468014256329685,1.0000006990679619e-08,0.5008131312271882,12.322395134934537
ciprofloxacin,assumed_0.1pct,0.001,39,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,40,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,41,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,42,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,43,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,44,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,45,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,46,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,47,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
ciprofloxacin,assumed_0.1pct,0.001,48,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,49,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,50,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,51,2;3;3,-4.020853526522834,1.0000000000142446e-08,0.5702192590999625,13.798867477055168
ciprofloxacin,assumed_0.1pct,0.001,52,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,53,2;3;3,-4.020853526522834,1.0000000000142446e-08,0.5702192590999625,13.798867477055168
